dis=0, v=0, a_actual=200, time_point=0
dis=0.0748109, v=0.275, a_actual=-200, time_point=0.056125
dis=0.0748277, v=0.2625, a_actual=-200, time_point=0.0561875
dis=0.0748438, v=0.25, a_actual=-200, time_point=0.05625
dis=0.074859, v=0.2375, a_actual=-200, time_point=0.0563125
dis=0.0748734, v=0.225, a_actual=-200, time_point=0.056375
dis=0.0748871, v=0.2125, a_actual=-200, time_point=0.0564375
dis=0.0749, v=0.2, a_actual=-200, time_point=0.0565
dis=0.0749121, v=0.1875, a_actual=-200, time_point=0.0565625
dis=0.0749234, v=0.175, a_actual=-200, time_point=0.056625
dis=0.074934, v=0.1625, a_actual=-200, time_point=0.0566875
dis=0.0749438, v=0.15, a_actual=-200, time_point=0.05675
dis=0.0749527, v=0.1375, a_actual=-200, time_point=0.0568125
dis=0.0749609, v=0.125, a_actual=-200, time_point=0.056875
dis=0.0749684, v=0.1125, a_actual=-200, time_point=0.0569375
dis=0.074975, v=0.1, a_actual=-200, time_point=0.057
dis=0.0749809, v=0.0875, a_actual=-200, time_point=0.0570625
dis=0.0749859, v=0.075, a_actual=-200, time_point=0.057125
dis=0.0749902, v=0.0625, a_actual=-200, time_point=0.0571875
dis=0.0749937, v=0.05, a_actual=-200, time_point=0.05725
dis=0.0749965, v=0.0375, a_actual=-200, time_point=0.0573125
dis=0.0749984, v=0.025, a_actual=-200, time_point=0.057375
dis=0.0749996, v=0.0125, a_actual=-200, time_point=0.0574375
x=0, y=0, z=-0.375
x=2.60417e-07, y=2.60417e-07, z=-0.75
x=1.30208e-06, y=1.30208e-06, z=-1.125
x=3.64583e-06, y=3.64583e-06, z=-1.5
x=7.8125e-06, y=7.8125e-06, z=-1.875
x=1.43229e-05, y=1.43229e-05, z=-2.25001
x=2.36979e-05, y=2.36979e-05, z=-2.62501
x=3.64583e-05, y=3.64583e-05, z=-3.00002
x=5.3125e-05, y=5.3125e-05, z=-3.37503
x=7.42188e-05, y=7.42188e-05, z=-3.75004
x=0.00010026, y=0.00010026, z=-4.12505
x=0.000131771, y=0.000131771, z=-4.50007
x=0.000169271, y=0.000169271, z=-4.87508
x=0.000213281, y=0.000213281, z=-5.25011
x=0.000264323, y=0.000264323, z=-5.62513
x=0.000322917, y=0.000322917, z=-6.00016
x=0.000389583, y=0.000389583, z=-6.37519
x=0.000464844, y=0.000464844, z=-6.75023
x=0.000549219, y=0.000549219, z=-7.12527
x=0.000643229, y=0.000643229, z=-7.50032
x=0.000747396, y=0.000747396, z=-7.87537
x=0.00086224, y=0.00086224, z=-8.25043
x=0.000988281, y=0.000988281, z=-8.62549
x=0.00112604, y=0.00112604, z=-9.00056
x=0.00127604, y=0.00127604, z=-9.37564
x=0.0014388, y=0.0014388, z=-9.75072
x=0.00161484, y=0.00161484, z=-10.1258
x=0.00180469, y=0.00180469, z=-10.5009
x=0.00200885, y=0.00200885, z=-10.876
x=0.00222786, y=0.00222786, z=-11.2511
x=0.00246224, y=0.00246224, z=-11.6262
x=0.0027125, y=0.0027125, z=-12.0014
x=0.00297917, y=0.00297917, z=-12.3765
x=0.00326276, y=0.00326276, z=-12.7516
x=0.0035638, y=0.0035638, z=-13.1268
x=0.00388281, y=0.00388281, z=-13.5019
x=0.00422031, y=0.00422031, z=-13.8771
x=0.00457682, y=0.00457682, z=-14.2523
x=0.00495286, y=0.00495286, z=-14.6275
x=0.00534896, y=0.00534896, z=-15.0027
x=0.00576563, y=0.00576563, z=-15.3779
x=0.00620339, y=0.00620339, z=-15.7531
x=0.00666276, y=0.00666276, z=-16.1283
x=0.00714427, y=0.00714427, z=-16.5036
x=0.00764844, y=0.00764844, z=-16.8788
x=0.00817578, y=0.00817578, z=-17.2541
x=0.00872682, y=0.00872682, z=-17.6294
